feature,importance
OCCUPATION_TYPE_HR staff,0.6000000000000001
OCCUPATION_TYPE_High skill tech staff,10.599999999999998
OCCUPATION_TYPE_IT staff,0.2
OCCUPATION_TYPE_Laborers,15.799999999999999
OCCUPATION_TYPE_Low-skill Laborers,8.0
OCCUPATION_TYPE_Managers,4.2
OCCUPATION_TYPE_Medicine staff,7.199999999999999
OCCUPATION_TYPE_Private service staff,1.4000000000000001
OCCUPATION_TYPE_Realty agents,0.6000000000000001
OCCUPATION_TYPE_Sales staff,9.0
OCCUPATION_TYPE_Secretaries,1.6
OCCUPATION_TYPE_Security staff,5.2
OCCUPATION_TYPE_Waiters/barmen staff,1.0
WEEKDAY_APPR_PROCESS_START_FRIDAY,5.6
WEEKDAY_APPR_PROCESS_START_MONDAY,12.200000000000003
WEEKDAY_APPR_PROCESS_START_SATURDAY,12.2
WEEKDAY_APPR_PROCESS_START_SUNDAY,8.2
WEEKDAY_APPR_PROCESS_START_THURSDAY,6.6
WEEKDAY_APPR_PROCESS_START_TUESDAY,11.0
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,12.6
ORGANIZATION_TYPE_Advertising,0.6
ORGANIZATION_TYPE_Agriculture,0.4
ORGANIZATION_TYPE_Bank,9.0
ORGANIZATION_TYPE_Business Entity Type 1,2.8
ORGANIZATION_TYPE_Business Entity Type 2,2.4
ORGANIZATION_TYPE_Business Entity Type 3,13.0
ORGANIZATION_TYPE_Cleaning,0.0
ORGANIZATION_TYPE_Construction,19.8
ORGANIZATION_TYPE_Culture,1.7999999999999998
ORGANIZATION_TYPE_Electricity,0.8
ORGANIZATION_TYPE_Emergency,0.2
ORGANIZATION_TYPE_Government,4.8
ORGANIZATION_TYPE_Hotel,3.8
ORGANIZATION_TYPE_Housing,1.0
ORGANIZATION_TYPE_Industry: type 1,0.8
ORGANIZATION_TYPE_Industry: type 10,0.0
ORGANIZATION_TYPE_Industry: type 11,0.6000000000000001
ORGANIZATION_TYPE_Industry: type 12,2.5999999999999996
ORGANIZATION_TYPE_Industry: type 13,0.0
ORGANIZATION_TYPE_Industry: type 2,0.4
ORGANIZATION_TYPE_Industry: type 3,0.8
ORGANIZATION_TYPE_Industry: type 4,0.4
ORGANIZATION_TYPE_Industry: type 5,1.0
ORGANIZATION_TYPE_Industry: type 6,0.0
